"Participant"	"Affiliation_institution_Brazilian_state"	"Area_of_study"	"Institution"	"Movement_ecology_group_in_institution"	"Works_with_movement"	"When_started_to_work_with_movement"	"Type_of_research"	"Taxon"	"Biome_standardized"	"Level_study"	"Components_mov_ecology_framework"	"Techonology_used"	"Challenges"
11	"SP"	"Ecology"	"sem vínculo"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
12	"SP"	"Ecology"	"Unesp RC"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
13	"SP"	"Ecology"	"USP RP/Departamento de Biologia"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
14	"SP"	"Ecology/Zoology"	"USP/Departamento de Zoologia"	"No"	"Yes"	1/6/2014	"Applied"	"AMPHIBIANS"	"Atlantic Forest"	"Individual"	"Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"VHF Telemetry"	"Locais para coleta de dados"
15	"SP"	"Ecology/Physics"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	8/1/2008	"Theoretical/Applied"	"BIRDS/MAMMALS/SIMULATIONS"	"Atlantic Forest"	"Population/Community"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"Modeling"	"Análise de dados"
16	"SP"	"Ecology/Zoology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	8/8/2012	"Applied"	"BIRDS"	"Atlantic Forest"	"Individual"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"VHF Telemetry"	"Financeiros, Tecnológicos"
17	"SP"	"Phisiology"	"USP/Departamente de Fisiologia"	"No"	"Yes"	1/2/2015	"Applied"	"AMPHIBIANS"	"Multiple"	"Individual"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"Modeling"	"Tecnológicos, Análise de dados"
18	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
19	"SP"	"Environmental education/Socioenvironmental issues/Etnobiology/Teaching"	"UFMT/Departamento de Educação"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
20	"SP"	"Biology"	"Unesp RC/Departamento de Educação"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
21	"RS"	"Ecology"	"Neotropical Consultoria Ambiental"	"No"	"Yes"	10/6/1999	"Theoretical/Applied"	"FISH"	"Amazon"	"Individual"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Capacidade de locomoção (Busca entender como ocorre a movimentação?) / Motion capacity (Do you wish to understand how movement operates?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"VHF Telemetry, Acoustic-based telemetry"	"Burocráticos, Financeiros, Tecnológicos, Análise de dados, treinamento de pessoal"
22	"SP"	"Zoology"	"Unesp Registro"	"No"	"Yes"	1/1/2011	"Applied"	"FISH"	"Marine"	"Population"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"VHF Telemetry, Acoustic-based telemetry"	"Financeiros, Análise de dados"
